,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 11 05 01 00,40,6,7,1,1,2
2019 11 05 02 00,4,3,9,1,0,1
2019 11 05 03 00,4,3,7,1,0,1
2019 11 05 04 00,4,3,7,1,0,1
2019 11 05 05 00,4,3,0,1,1,2
2019 11 05 06 00,4,3,0,1,1,2
2019 11 05 07 00,4,3,0,1,1,2
2019 11 05 08 00,40,3,7,0,1,1
2019 11 05 09 00,40,6,7,1,1,2
2019 11 05 10 00,40,6,7,1,1,2
2019 11 05 11 00,4,3,0,1,1,2
2019 11 05 12 00,4,3,0,1,1,2
2019 11 05 13 00,4,3,0,1,1,2
2019 11 05 14 00,4,3,0,1,1,2
2019 11 05 15 00,4,3,0,1,1,2
2019 11 05 16 00,4,3,0,1,1,2
2019 11 05 17 00,4,3,0,1,1,2
2019 11 05 18 00,40,3,7,0,1,1
2019 11 05 19 00,4,3,0,1,1,2
2019 11 05 20 00,4,3,0,1,1,2
2019 11 05 21 00,4,3,0,1,1,2
2019 11 05 22 00,40,3,7,0,1,1
2019 11 05 23 00,40,3,7,0,1,1
2019 11 06 00 00,4,3,0,1,1,2
2019 11 06 01 00,4,3,0,1,1,2
2019 11 06 02 00,4,3,0,1,1,2
2019 11 06 03 00,4,3,0,1,1,2
2019 11 06 04 00,40,3,7,0,1,1
2019 11 06 05 00,40,3,7,0,1,1
2019 11 06 06 00,40,6,7,1,1,2
2019 11 06 07 00,40,3,7,0,1,1
2019 11 06 08 00,40,3,7,0,1,1
2019 11 06 09 00,40,6,7,1,1,2
2019 11 06 10 00,40,6,7,1,1,2
2019 11 06 11 00,40,6,7,1,1,2
2019 11 06 12 00,40,6,7,1,1,2
2019 11 06 13 00,40,3,7,0,1,1
2019 11 06 14 00,40,3,0,0,0,0
2019 11 06 15 00,40,3,0,0,0,0
2019 11 06 16 00,4,3,0,1,1,2
2019 11 06 17 00,4,3,0,1,1,2
2019 11 06 18 00,4,4,0,0,1,1
2019 11 06 19 00,4,4,0,0,1,1
2019 11 06 20 00,0,2,0,0,1,1
2019 11 06 21 00,0,1,0,1,1,2
2019 11 06 22 00,0,1,0,1,1,2
2019 11 06 23 00,0,1,0,1,1,2
2019 11 07 00 00,0,1,0,1,1,2
