,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 06 01 00,0,1,0,1,1,2
2019 12 06 02 00,0,1,0,1,1,2
2019 12 06 03 00,0,1,0,1,1,2
2019 12 06 04 00,0,1,0,1,1,2
2019 12 06 05 00,0,1,0,1,1,2
2019 12 06 06 00,0,1,0,1,1,2
2019 12 06 07 00,0,1,0,1,1,2
2019 12 06 08 00,0,1,0,1,1,2
2019 12 06 09 00,0,1,0,1,1,2
2019 12 06 10 00,0,1,0,1,1,2
2019 12 06 11 00,0,1,0,1,1,2
2019 12 06 12 00,0,1,0,1,1,2
2019 12 06 13 00,0,1,0,1,1,2
2019 12 06 14 00,0,1,0,1,1,2
2019 12 06 15 00,0,1,0,1,1,2
2019 12 06 16 00,6,2,0,1,1,2
2019 12 06 17 00,6,2,0,1,1,2
2019 12 06 18 00,6,2,0,1,1,2
2019 12 06 19 00,6,2,0,1,1,2
2019 12 06 20 00,4,3,0,1,1,2
2019 12 06 21 00,4,3,0,1,1,2
2019 12 06 22 00,4,3,0,1,1,2
2019 12 06 23 00,4,3,0,1,1,2
2019 12 07 00 00,4,3,0,1,1,2
2019 12 07 01 00,4,3,0,1,1,2
2019 12 07 02 00,4,3,0,1,1,2
2019 12 07 03 00,4,3,0,1,1,2
2019 12 07 04 00,4,3,0,1,1,2
2019 12 07 05 00,4,3,0,1,1,2
2019 12 07 06 00,40,3,0,0,0,0
2019 12 07 07 00,40,3,0,0,0,0
2019 12 07 08 00,0,3,0,0,1,1
2019 12 07 09 00,0,2,0,0,1,1
2019 12 07 10 00,0,2,0,0,1,1
2019 12 07 11 00,0,2,0,0,1,1
2019 12 07 12 00,0,2,0,0,1,1
2019 12 07 13 00,0,2,0,0,1,1
2019 12 07 14 00,0,1,0,1,1,2
2019 12 07 15 00,0,1,0,1,1,2
2019 12 07 16 00,0,1,0,1,1,2
2019 12 07 17 00,0,1,0,1,1,2
2019 12 07 18 00,0,1,0,1,1,2
2019 12 07 19 00,0,1,0,1,1,2
2019 12 07 20 00,0,1,0,1,1,2
2019 12 07 21 00,0,1,0,1,1,2
2019 12 07 22 00,0,1,0,1,1,2
2019 12 07 23 00,0,1,0,1,1,2
2019 12 08 00 00,0,1,0,1,1,2
